iter	Logloss
0	0.6799274525
1	0.6671418503
2	0.6553199477
3	0.644474716
4	0.6341433418
5	0.6250965457
6	0.6161145002
7	0.6078996025
8	0.5990585084
9	0.5915552381
10	0.5840830806
11	0.5770659634
12	0.5704246341
13	0.5647715034
14	0.5595581647
15	0.5543174348
16	0.5488952659
17	0.5442702102
18	0.539418394
19	0.5346613786
20	0.5305092426
21	0.5273335261
22	0.523788975
23	0.5205027316
24	0.5170875481
25	0.5129435003
26	0.5093721109
27	0.505951135
28	0.5029687921
29	0.4998145071
30	0.4974854965
31	0.4946984626
32	0.4919959242
33	0.4899675476
34	0.4877785836
35	0.4853186081
36	0.4835071889
37	0.4811039513
38	0.4785978948
39	0.4767188745
40	0.4748616103
41	0.4730118112
42	0.4707942191
43	0.4683717181
44	0.4659875246
45	0.4641347131
46	0.4621394703
47	0.4602935816
48	0.4589642205
49	0.4572743355
50	0.4555436271
51	0.4537837375
52	0.4523985992
53	0.4511468077
54	0.4496238499
55	0.448325354
56	0.4469292311
57	0.4458204162
58	0.4448256838
59	0.4435826977
60	0.4417984831
61	0.4405726669
62	0.4398500722
63	0.4383174033
64	0.4373334432
65	0.436151651
66	0.4346241064
67	0.4335618127
68	0.432408681
69	0.4314407507
70	0.4304819688
71	0.429750255
72	0.4285885425
73	0.427533739
74	0.4270095997
75	0.4263005302
76	0.4252691162
77	0.4240379178
78	0.4225049568
79	0.421439983
80	0.4198476646
81	0.4191722918
82	0.4181248114
83	0.4171679724
84	0.4164235378
85	0.4154254036
86	0.4143942844
87	0.4131663289
88	0.4121631603
89	0.4114400836
90	0.4108463725
91	0.4102877691
92	0.4092144069
93	0.4084187522
94	0.4079856036
95	0.4070769995
96	0.4062945745
97	0.4056407067
98	0.404813002
99	0.4043499233
100	0.4032628864
101	0.4028629685
102	0.4021727465
103	0.4016728862
104	0.4011142992
105	0.4002824587
106	0.3996392325
107	0.3990103198
108	0.3984408119
109	0.397691183
110	0.3972500501
111	0.3969251965
112	0.3958034806
113	0.395160399
114	0.3942302417
115	0.3937246771
116	0.3933338566
117	0.3929079279
118	0.3923229133
119	0.3919786773
120	0.3917339266
121	0.3911500931
122	0.3908122846
123	0.39041043
124	0.3899469029
125	0.3895139189
126	0.3891605471
127	0.3887008735
128	0.3883972875
129	0.387943174
130	0.3874603686
131	0.3869856234
132	0.3865174217
133	0.3860753107
134	0.3856686284
135	0.38525475
136	0.3845937353
137	0.384275086
138	0.3836226018
139	0.3831527924
140	0.38279709
141	0.3824088185
142	0.3819033469
143	0.3812399183
144	0.3806255725
145	0.3802575806
146	0.3795461904
147	0.3791563555
148	0.3787984136
149	0.378335481
150	0.3776619351
151	0.3773916409
152	0.3769602374
153	0.376723028
154	0.3764035559
155	0.3758761461
156	0.3755073467
157	0.3752836803
158	0.3748601071
159	0.3742828967
160	0.3740586073
161	0.3736237148
