iter	Passed	Remaining
0	10	10324
1	17	8530
2	24	8007
3	32	8162
4	39	7910
5	46	7763
6	53	7619
7	60	7484
8	67	7390
9	74	7351
10	81	7356
11	89	7343
12	95	7238
13	102	7211
14	108	7153
15	115	7107
16	123	7139
17	132	7204
18	140	7264
19	147	7211
20	154	7189
21	162	7235
22	170	7223
23	175	7144
24	181	7094
25	189	7086
26	197	7121
27	204	7109
28	210	7055
29	217	7044
30	223	6999
31	230	6970
32	237	6968
33	244	6952
34	251	6944
35	257	6883
36	263	6851
37	270	6853
38	281	6940
39	287	6907
40	294	6879
41	301	6874
42	306	6831
43	313	6814
44	320	6803
45	328	6822
46	336	6823
47	342	6802
48	350	6794
49	356	6777
50	363	6757
51	370	6752
52	377	6739
53	384	6738
54	391	6731
55	399	6731
56	406	6722
57	413	6714
58	420	6709
59	426	6687
60	434	6695
61	441	6678
62	448	6670
63	455	6667
64	463	6669
65	470	6660
66	477	6647
67	485	6655
68	491	6637
69	500	6643
70	508	6647
71	516	6655
72	523	6645
73	532	6662
74	539	6649
75	546	6649
76	554	6643
77	562	6654
78	570	6645
79	577	6642
80	583	6624
81	590	6608
82	597	6606
83	606	6617
84	613	6607
85	622	6615
86	630	6612
87	637	6602
88	645	6603
89	653	6604
90	660	6599
91	666	6580
92	673	6568
93	681	6564
94	687	6548
95	694	6542
96	701	6526
97	708	6517
98	714	6502
99	720	6486
100	727	6478
101	733	6461
102	740	6448
103	746	6431
104	752	6417
105	760	6416
106	769	6418
107	776	6416
108	783	6402
109	790	6393
110	796	6379
111	802	6364
112	809	6357
113	816	6344
114	823	6336
115	829	6322
116	836	6310
117	843	6303
118	849	6290
119	857	6287
120	864	6282
121	871	6273
122	878	6264
123	885	6252
124	894	6264
125	901	6251
126	910	6261
127	917	6248
128	926	6252
129	932	6239
130	939	6235
131	946	6222
132	952	6212
133	960	6206
134	966	6192
135	975	6194
136	981	6183
137	989	6177
138	995	6163
139	1001	6154
140	1008	6143
141	1016	6139
142	1023	6136
143	1031	6128
144	1038	6124
145	1045	6117
146	1052	6110
147	1060	6103
148	1067	6094
149	1072	6078
150	1078	6065
151	1085	6057
152	1091	6044
153	1098	6032
154	1104	6023
155	1111	6011
156	1120	6017
157	1129	6021
158	1138	6021
159	1146	6016
160	1155	6019
161	1165	6029
162	1177	6047
163	1184	6038
164	1190	6024
165	1197	6013
166	1203	6001
167	1209	5989
168	1216	5979
169	1221	5963
170	1227	5951
171	1234	5941
172	1241	5934
173	1248	5925
174	1253	5911
175	1261	5907
176	1267	5895
177	1274	5883
178	1280	5873
179	1288	5868
180	1294	5856
181	1300	5847
182	1306	5834
183	1313	5824
184	1319	5811
185	1325	5800
186	1332	5791
187	1340	5788
188	1346	5779
189	1356	5783
190	1363	5774
191	1369	5765
192	1375	5753
193	1383	5746
194	1391	5743
195	1398	5738
196	1406	5734
197	1413	5726
198	1420	5716
199	1426	5706
200	1433	5699
201	1439	5688
202	1447	5684
203	1453	5673
204	1464	5680
205	1470	5668
206	1477	5660
207	1484	5650
208	1490	5642
209	1497	5633
210	1503	5622
211	1509	5612
212	1516	5603
213	1523	5594
214	1529	5586
215	1536	5577
216	1543	5569
217	1549	5559
218	1555	5548
219	1562	5540
220	1568	5530
221	1575	5522
222	1581	5511
223	1588	5501
224	1595	5494
225	1601	5485
226	1608	5478
227	1616	5474
228	1623	5466
229	1627	5450
230	1634	5440
231	1641	5432
232	1646	5421
233	1652	5410
234	1660	5404
235	1666	5394
236	1673	5386
237	1679	5378
238	1686	5370
239	1692	5360
240	1698	5350
241	1705	5341
242	1713	5336
243	1719	5328
244	1725	5318
245	1731	5308
246	1738	5298
247	1743	5286
248	1749	5276
249	1757	5272
250	1760	5252
251	1766	5243
252	1772	5233
253	1780	5230
254	1787	5222
255	1792	5210
256	1799	5201
257	1805	5191
258	1812	5186
259	1819	5178
260	1825	5167
261	1831	5158
262	1837	5150
263	1844	5141
264	1852	5138
265	1862	5139
266	1872	5141
267	1879	5133
268	1887	5127
269	1893	5119
270	1901	5113
271	1907	5105
272	1913	5096
273	1921	5090
274	1928	5084
275	1936	5080
276	1942	5071
277	1952	5070
278	1959	5064
279	1966	5057
280	1972	5048
281	1979	5040
282	1986	5031
283	1992	5022
284	1999	5015
285	2006	5008
286	2012	4999
287	2024	5005
288	2051	5048
289	2078	5088
290	2107	5134
291	2131	5168
292	2148	5184
293	2159	5185
294	2167	5180
295	2175	5174
296	2183	5168
297	2194	5170
298	2206	5173
299	2217	5173
300	2224	5165
301	2231	5156
302	2237	5148
303	2248	5148
304	2256	5142
305	2263	5133
306	2270	5124
307	2276	5113
308	2283	5105
309	2289	5096
310	2295	5086
311	2302	5078
312	2309	5068
313	2317	5062
314	2325	5056
315	2333	5050
316	2341	5044
317	2347	5035
318	2360	5039
319	2370	5036
320	2378	5031
321	2394	5042
322	2405	5042
323	2414	5036
324	2423	5033
325	2432	5028
326	2440	5022
327	2448	5017
328	2456	5010
329	2465	5005
330	2473	4998
331	2481	4992
332	2487	4983
333	2505	4996
334	2512	4987
335	2520	4981
336	2527	4973
337	2534	4963
338	2540	4953
339	2547	4945
340	2557	4942
341	2564	4934
342	2570	4924
343	2577	4915
344	2584	4907
345	2591	4897
346	2598	4889
347	2604	4879
348	2611	4871
349	2617	4861
350	2624	4853
351	2631	4843
352	2637	4834
353	2644	4826
354	2650	4816
355	2658	4809
356	2664	4799
357	2670	4789
358	2678	4782
359	2684	4773
360	2692	4766
361	2698	4755
